Date,Open,High,Low,Close,Adj Close,Volume
1995-06-16 00:00:00-04:00,7.5,8.0,7.4375,7.5,6.893519878387451,6212400
1995-06-19 00:00:00-04:00,7.5625,7.625,7.0625,7.1875,6.606289863586426,1528200
1995-06-20 00:00:00-04:00,7.25,7.3125,7.1875,7.1875,6.606289863586426,863000
1995-06-21 00:00:00-04:00,7.25,7.25,7.0,7.0625,6.491397857666016,629000
1995-06-22 00:00:00-04:00,7.0625,7.5625,7.0,7.3125,6.721179962158203,546200
1995-06-23 00:00:00-04:00,7.375,7.4375,7.25,7.3125,6.721179962158203,365000
1995-06-26 00:00:00-04:00,7.3125,7.375,7.0,7.0625,6.491397857666016,515400
1995-06-27 00:00:00-04:00,7.125,7.125,7.0,7.0,6.433950901031494,270800
1995-06-28 00:00:00-04:00,7.0625,7.0625,7.0,7.0,6.433950901031494,500400
1995-06-29 00:00:00-04:00,7.0,7.125,7.0,7.0,6.433950901031494,309200
1995-06-30 00:00:00-04:00,7.0625,7.1875,7.0625,7.125,6.548842906951904,95000
1995-07-03 00:00:00-04:00,7.0625,7.125,7.0625,7.0625,6.491397857666016,9200
1995-07-05 00:00:00-04:00,7.125,7.125,7.0625,7.0625,6.491397857666016,75600
1995-07-06 00:00:00-04:00,7.0625,7.125,7.0625,7.0625,6.491397857666016,81400
1995-07-07 00:00:00-04:00,7.0625,7.625,7.0625,7.5625,6.950965404510498,475000
1995-07-10 00:00:00-04:00,7.5,7.75,7.5,7.75,7.123303413391113,241400
1995-07-11 00:00:00-04:00,7.625,8.5625,7.625,8.5,7.812653064727783,538600
1995-07-12 00:00:00-04:00,8.5,9.0625,8.375,9.0,8.272225379943848,496200
1995-07-13 00:00:00-04:00,9.0,9.0,8.8125,8.9375,8.2147798538208,384000
1995-07-14 00:00:00-04:00,8.9375,8.9375,8.75,8.9375,8.2147798538208,102200
1995-07-17 00:00:00-04:00,9.0625,9.5,9.0625,9.4375,8.67434310913086,480200
1995-07-18 00:00:00-04:00,9.4375,9.4375,9.0,9.0625,8.329669952392578,359200
1995-07-19 00:00:00-04:00,9.0,9.0,8.8125,8.875,8.157332420349121,101600
1995-07-20 00:00:00-04:00,8.75,8.75,8.4375,8.6875,7.9849958419799805,119600
1995-07-21 00:00:00-04:00,8.75,8.75,8.6875,8.6875,7.9849958419799805,13000
1995-07-24 00:00:00-04:00,8.6875,8.8125,8.5625,8.5625,7.870106220245361,112000
1995-07-25 00:00:00-04:00,8.5625,8.8125,8.5625,8.75,8.042444229125977,201000
1995-07-26 00:00:00-04:00,8.875,9.1875,8.875,9.125,8.387115478515625,287800
1995-07-27 00:00:00-04:00,9.1875,9.375,9.1875,9.3125,8.559456825256348,101600
1995-07-28 00:00:00-04:00,9.375,9.4375,9.3125,9.3125,8.559456825256348,100400
1995-07-31 00:00:00-04:00,9.375,9.375,9.0625,9.25,8.502007484436035,60800
1995-08-01 00:00:00-04:00,9.1875,9.1875,9.0,9.0625,8.329669952392578,57600
1995-08-02 00:00:00-04:00,9.0,9.0,8.875,8.875,8.157332420349121,41000
1995-08-03 00:00:00-04:00,8.8125,8.8125,8.75,8.75,8.042444229125977,12600
1995-08-04 00:00:00-04:00,8.625,8.6875,8.5625,8.625,7.927547454833984,9000
1995-08-07 00:00:00-04:00,8.5625,8.75,8.5625,8.6875,7.9849958419799805,12200
1995-08-08 00:00:00-04:00,8.625,8.6875,8.5625,8.5625,7.870106220245361,3200
1995-08-09 00:00:00-04:00,8.4375,8.4375,8.1875,8.1875,7.52542781829834,24000
1995-08-10 00:00:00-04:00,8.25,8.25,8.125,8.125,7.467977523803711,6800
